,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_epochs,param_lr,param_num_layers,param_optimizer_name,param_units,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10,67.40839521,12.37125844,2.307936033,0.310383427,relu,30,1.00E-05,2,adam,128,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 2, 'optimizer_name': 'adam', 'units': 128}",0.728050709,0.736408293,0.726581097,0.7303467,0.004327981,64
11,66.52399135,0.069967224,1.62533768,0.188361759,relu,30,1.00E-05,2,adam,256,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 2, 'optimizer_name': 'adam', 'units': 256}",0.759429455,0.760976374,0.752734184,0.757713338,0.003576984,50
12,56.8936948,1.541880408,1.479736328,0.174918054,relu,30,1.00E-05,2,sgd,32,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 2, 'optimizer_name': 'sgd', 'units': 32}",0.099524565,0.173720077,0.206054837,0.159766493,0.044595976,143
13,54.30197167,0.31244954,1.906836907,0.296605222,relu,30,1.00E-05,2,sgd,64,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 2, 'optimizer_name': 'sgd', 'units': 64}",0.206814587,0.236170545,0.223965764,0.222316965,0.012041096,137
26,48.33670751,0.391377072,1.619524638,0.119199999,relu,30,0.0001,1,adam,128,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 1, 'optimizer_name': 'adam', 'units': 128}",0.800000012,0.802504361,0.795371711,0.799292028,0.002954613,35
15,59.9311897,0.743804346,1.793270032,0.187885189,relu,30,1.00E-05,2,sgd,256,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 2, 'optimizer_name': 'sgd', 'units': 256}",0.225673541,0.226026312,0.22856237,0.226754074,0.001286743,129
16,51.05848026,0.13805887,1.342820326,0.174645369,relu,30,1.00E-05,3,adam,32,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 3, 'optimizer_name': 'adam', 'units': 32}",0.595087171,0.645744205,0.594388962,0.611740112,0.024046214,96
17,50.91460808,0.297070517,1.788606882,0.253940037,relu,30,1.00E-05,3,adam,64,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 3, 'optimizer_name': 'adam', 'units': 64}",0.702218711,0.695038855,0.702013016,0.699756861,0.003337191,83
18,59.60865935,0.569862091,2.039644559,0.20106255,relu,30,1.00E-05,3,adam,128,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 3, 'optimizer_name': 'adam', 'units': 128}",0.741521418,0.737834811,0.73212868,0.737161636,0.003864001,57
19,71.4952503,0.475955067,1.735701958,0.236570236,relu,30,1.00E-05,3,adam,256,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 3, 'optimizer_name': 'adam', 'units': 256}",0.771949291,0.770962119,0.763036907,0.768649439,0.00398907,47
20,62.51314712,15.92324255,1.68367823,0.216157355,relu,30,1.00E-05,3,sgd,32,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 3, 'optimizer_name': 'sgd', 'units': 32}",0.112202853,0.094309717,0.132984623,0.113165731,0.015803638,144
21,49.07455166,1.818881439,2.044550816,0.142549165,relu,30,1.00E-05,3,sgd,64,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 3, 'optimizer_name': 'sgd', 'units': 64}",0.214580029,0.223490253,0.226501822,0.221524035,0.005061739,138
22,52.64096737,0.327119975,1.804420074,0.261795926,relu,30,1.00E-05,3,sgd,128,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 3, 'optimizer_name': 'sgd', 'units': 128}",0.221553087,0.129180536,0.201933742,0.184222455,0.039736124,141
23,72.74880958,8.863194707,1.772664865,0.269656588,relu,30,1.00E-05,3,sgd,256,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 3, 'optimizer_name': 'sgd', 'units': 256}",0.226782888,0.226660326,0.226501822,0.226648346,0.000115057,130
24,52.98726471,2.160406819,1.327695131,0.28569392,relu,30,0.0001,1,adam,32,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 1, 'optimizer_name': 'adam', 'units': 32}",0.7681458,0.763353944,0.758598804,0.763366183,0.003897554,48
25,49.0658191,1.864955289,1.455778599,0.185164645,relu,30,0.0001,1,adam,64,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 1, 'optimizer_name': 'adam', 'units': 64}",0.776703656,0.780472338,0.773339689,0.776838561,0.002913454,42
34,67.45303257,11.91169058,1.892864307,0.389572022,relu,30,0.0001,2,adam,128,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 2, 'optimizer_name': 'adam', 'units': 128}",0.823137879,0.837058187,0.833095551,0.831097205,0.005855981,20
27,50.74746728,0.093098899,1.118300041,0.188980094,relu,30,0.0001,1,adam,256,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 1, 'optimizer_name': 'adam', 'units': 256}",0.810618043,0.819781244,0.82136631,0.817255199,0.004737579,26
28,44.00385221,1.313093422,1.259577354,0.221848774,relu,30,0.0001,1,sgd,32,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 1, 'optimizer_name': 'sgd', 'units': 32}",0.434865296,0.42542401,0.366460621,0.408916642,0.030267361,111
29,40.93665338,1.269299854,1.277543942,0.114995648,relu,30,0.0001,1,sgd,64,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 1, 'optimizer_name': 'sgd', 'units': 64}",0.437083989,0.440957367,0.441115856,0.439719071,0.001864407,106
30,42.90800301,0.92395672,1.114822308,0.088942567,relu,30,0.0001,1,sgd,128,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 1, 'optimizer_name': 'sgd', 'units': 128}",0.441838354,0.455539703,0.437787294,0.445055117,0.00759595,105
31,58.01698915,17.95056617,1.553008795,0.186933252,relu,30,0.0001,1,sgd,256,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 1, 'optimizer_name': 'sgd', 'units': 256}",0.474326462,0.495641142,0.464098901,0.478022168,0.013139557,100
32,45.43857972,1.802516353,1.335702658,0.126262494,relu,30,0.0001,2,adam,32,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 2, 'optimizer_name': 'adam', 'units': 32}",0.772424698,0.776985288,0.760025382,0.769811789,0.007166127,46
33,47.76994809,3.527701522,1.626639287,0.207792173,relu,30,0.0001,2,adam,64,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 2, 'optimizer_name': 'adam', 'units': 64}",0.794770181,0.804247916,0.788873017,0.795963705,0.006333259,37
58,55.73357821,0.536184958,4.417308728,1.53732866,relu,30,0.001,2,adam,128,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 2, 'optimizer_name': 'adam', 'units': 128}",0.863708377,0.842130303,0.850055456,0.851964712,0.008912061,9
35,68.04404569,1.159329264,1.532327016,0.269844986,relu,30,0.0001,2,adam,256,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 2, 'optimizer_name': 'adam', 'units': 256}",0.849603832,0.845458865,0.848153412,0.847738703,0.001717396,12
36,53.5961709,1.200223154,1.762561719,0.287392612,relu,30,0.0001,2,sgd,32,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 2, 'optimizer_name': 'sgd', 'units': 32}",0.322028518,0.315580904,0.37834838,0.338652601,0.028192305,117
37,52.22560398,0.549930586,1.628451665,0.114719776,relu,30,0.0001,2,sgd,64,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 2, 'optimizer_name': 'sgd', 'units': 64}",0.34992075,0.40656206,0.36899668,0.37515983,0.0235308,116
14,65.19002199,13.38522239,1.779557705,0.157602891,relu,30,1.00E-05,2,sgd,128,"{'activation': 'relu', 'epochs': 30, 'lr': 1e-05, 'num_layers': 2, 'optimizer_name': 'sgd', 'units': 128}",0.250554681,0.243620232,0.17387858,0.222684498,0.034626915,136
39,60.48475981,0.387900362,1.786771139,0.395264408,relu,30,0.0001,2,sgd,256,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 2, 'optimizer_name': 'sgd', 'units': 256}",0.465610147,0.459660798,0.448248535,0.457839827,0.007203857,103
40,54.360116,0.269692401,1.322929223,0.14075081,relu,30,0.0001,3,adam,32,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 3, 'optimizer_name': 'adam', 'units': 32}",0.774484932,0.773022652,0.765097499,0.770868361,0.004124052,45
41,55.52509538,0.710674844,1.810936292,0.578220244,relu,30,0.0001,3,adam,64,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 3, 'optimizer_name': 'adam', 'units': 64}",0.810142636,0.805991411,0.796798229,0.804310759,0.005575945,31
42,64.51142399,1.394760346,2.80937473,0.61740521,relu,30,0.0001,3,adam,128,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 3, 'optimizer_name': 'adam', 'units': 128}",0.830269396,0.850530982,0.830242515,0.837014298,0.009557745,17
43,77.63539759,0.440503509,1.874407291,0.315533093,relu,30,0.0001,3,adam,256,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 3, 'optimizer_name': 'adam', 'units': 256}",0.864025354,0.864479303,0.855920136,0.861474931,0.003932203,4
44,68.85434087,12.13598098,2.089949608,0.956540058,relu,30,0.0001,3,sgd,32,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 3, 'optimizer_name': 'sgd', 'units': 32}",0.324881136,0.229354888,0.294499934,0.282911986,0.039849939,119
45,47.98312267,2.125504996,1.555617332,0.04086522,relu,30,0.0001,3,sgd,64,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 3, 'optimizer_name': 'sgd', 'units': 64}",0.260538816,0.230464414,0.349342197,0.280115142,0.050467192,120
46,58.85580897,17.65268934,1.205921094,0.057260166,relu,30,0.0001,3,sgd,128,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 3, 'optimizer_name': 'sgd', 'units': 128}",0.357527733,0.36424157,0.281502604,0.334423969,0.037521301,118
47,57.25581106,1.230150087,1.368102948,0.187274479,relu,30,0.0001,3,sgd,256,"{'activation': 'relu', 'epochs': 30, 'lr': 0.0001, 'num_layers': 3, 'optimizer_name': 'sgd', 'units': 256}",0.410301119,0.402757972,0.406720549,0.406593213,0.003080793,112
48,38.18838143,0.086010001,1.132300774,0.003804421,relu,30,0.001,1,adam,32,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 1, 'optimizer_name': 'adam', 'units': 32}",0.79619652,0.802345872,0.778728783,0.792423725,0.010003906,38
56,62.11130563,15.68872517,1.93607537,0.449825252,relu,30,0.001,2,adam,32,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 2, 'optimizer_name': 'adam', 'units': 32}",0.807606995,0.811063588,0.802662849,0.807111144,0.003447463,30
64,51.63200712,2.070424585,1.617772818,0.310149924,relu,30,0.001,3,adam,32,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 3, 'optimizer_name': 'adam', 'units': 32}",0.80427891,0.824219346,0.81312412,0.813874125,0.008157905,29
49,45.16349196,2.369572494,1.668047984,0.184928145,relu,30,0.001,1,adam,64,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 1, 'optimizer_name': 'adam', 'units': 64}",0.825356603,0.834205091,0.812807083,0.824122926,0.008779148,24
52,40.44583726,3.086742169,1.397345066,0.095898391,relu,30,0.001,1,sgd,32,"{'activation': 'relu', 'epochs': 30, 'lr': 0.001, 'num_layers': 1, 'optimizer_name': 'sgd', 'units': 32}",0.696671963,0.696623862,0.699001431,0.697432419,0.001109633,84
